Species,Total_Occurrences,VCM_Occurrences,Non_VCM_Occurrences,Percent_in_VCM,VCM_Frequency,Non_VCM_Frequency,Frequency_Ratio,p_value,Preference,adjusted_p_value,significant,VCM_Preference_Strength,abs_preference
species_Wyethia sagittata,80,4,76,5.0,0.2826855123674912,1.109327105532039,0.2548261112144319,0.00253642587012791,non-VCM,0.003813150301400348,True,-12.11831599322526,12.11831599322526
species_Cornus sericea,100,5,95,5.0,0.35335689045936397,1.386658881915049,0.2548261112144318,0.00046568369105817113,non-VCM,0.0007504542935038153,True,-12.11831599322526,12.11831599322526
species_Thamnophis elegans,142,7,135,4.929577464788732,0.49469964664310956,1.970515253247701,0.25105090956681064,1.789365372590268e-05,non-VCM,3.711276328335371e-05,True,-12.188738528436527,12.188738528436527
species_Calochortus minimus,163,8,155,4.9079754601226995,0.5653710247349824,2.262443438914027,0.2498939929328622,5.313339941393358e-06,non-VCM,1.2661576030554386e-05,True,-12.21034053310256,12.21034053310256
species_Castilleja applegatei,146,7,139,4.794520547945205,0.49469964664310956,2.0289008903809664,0.24382642296057147,1.293360370673185e-05,non-VCM,2.8127448837941115e-05,True,-12.323795445280055,12.323795445280055
species_Sarcodes sanguinea,1073,51,1022,4.753028890959925,3.604240282685512,14.917530287549264,0.2416110584802196,5.389881728959321e-35,non-VCM,3.01833376821722e-33,True,-12.365287102265334,12.365287102265334
species_Monochamus scutellatus,169,7,162,4.142011834319527,0.49469964664310956,2.3646183038972413,0.20920909130567553,3.6028054228090143e-07,non-VCM,1.0618794930384462e-06,True,-12.976304158905732,12.976304158905732
species_Allium campanulatum,196,8,188,4.081632653061225,0.5653710247349824,2.744124945263465,0.2060296218329449,3.5460283761883156e-08,non-VCM,1.2811457359131978e-07,True,-13.036683340164036,13.036683340164036
species_Passerella iliaca,99,4,95,4.040404040404041,0.2826855123674912,1.386658881915049,0.20386088897154547,0.00013965586130446184,non-VCM,0.00025433262546503617,True,-13.077911952821218,13.077911952821218
species_Phlox diffusa,151,6,145,3.9735099337748347,0.4240282685512367,2.1164793460808644,0.2003460460582429,1.2481325957777382e-06,non-VCM,3.409532944563578e-06,True,-13.144806059450424,13.144806059450424
species_Leptosiphon ciliatus,253,10,243,3.9525691699604746,0.7067137809187279,3.546927455845862,0.19924675362445288,1.6898084977108643e-10,non-VCM,8.228632684505079e-10,True,-13.165746823264785,13.165746823264785
species_Letharia vulpina,210,8,202,3.8095238095238098,0.5653710247349824,2.9484746752298934,0.19175034111184971,3.970321815026179e-09,non-VCM,1.617003793756117e-08,True,-13.30879218370145,13.30879218370145
species_Callospermophilus lateralis,184,7,177,3.804347826086957,0.49469964664310956,2.5835644431469857,0.19147950729671998,4.0278391295935485e-08,non-VCM,1.4321205794110394e-07,True,-13.313968167138302,13.313968167138302
species_Neolentinus ponderosus,133,5,128,3.7593984962406015,0.35335689045936397,1.868340388264487,0.18912875441696114,4.444028273565435e-06,non-VCM,1.0703896056759756e-05,True,-13.358917496984658,13.358917496984658
species_Calochortus leichtlinii,569,21,548,3.690685413005272,1.4840989399293287,7.9988322872573345,0.18553944958861007,3.671836044111664e-23,non-VCM,5.874937670578662e-22,True,-13.427630580219986,13.427630580219986
species_Caloscypha fulgens,137,5,132,3.64963503649635,0.35335689045936397,1.926726025397752,0.1833975800406896,2.0528543452219118e-06,non-VCM,5.346969457322189e-06,True,-13.46868095672891,13.46868095672891
species_Sphyrapicus thyroideus,83,3,80,3.614457831325301,0.21201413427561835,1.1677127426653044,0.18156360424028264,0.00035147101613523595,non-VCM,0.0005875336389126333,True,-13.50385816189996,13.50385816189996
species_Calyptridium monospermum,427,15,412,3.51288056206089,1.0600706713780919,6.013720624726317,0.17627534392260455,3.6198705058943795e-18,non-VCM,3.685686333274277e-17,True,-13.60543543116437,13.60543543116437
species_Corallorhiza maculata,260,9,251,3.4615384615384617,0.6360424028268552,3.663698730112392,0.1736066335365253,1.4851478476787777e-11,non-VCM,8.754555733685426e-11,True,-13.656777531686798,13.656777531686798
species_Streptanthus tortuosus,261,9,252,3.4482758620689653,0.6360424028268552,3.678295139395708,0.1729177183240788,9.738805265627051e-12,non-VCM,5.895925350001242e-11,True,-13.670040131156295,13.670040131156295
species_Calvatia sculpta,88,3,85,3.4090909090909087,0.21201413427561835,1.240694789081886,0.17088339222614837,0.0001663874721580037,non-VCM,0.00029816635010714265,True,-13.709225084134351,13.709225084134351
species_Penstemon newberryi,417,14,403,3.357314148681055,0.9893992932862191,5.88235294117647,0.16819787985865725,2.5354939507264305e-18,non-VCM,2.7045268807748592e-17,True,-13.761001844544204,13.761001844544204
species_Lonicera involucrata,65,2,63,3.076923076923077,0.1413427561837456,0.919573784848927,0.15370463851029226,0.0008245151405448764,non-VCM,0.001291548192182184,True,-14.041392916302183,14.041392916302183
species_Nymphalis antiopa,100,3,97,3.0,0.21201413427561835,1.4158517004816815,0.1497431787548723,2.44236034528113e-05,non-VCM,4.973533794027029e-05,True,-14.11831599322526,14.11831599322526
species_Myadestes townsendi,101,3,98,2.9702970297029703,0.21201413427561835,1.4304481097649977,0.14821518713492463,1.597061517202544e-05,non-VCM,3.3749224514468857e-05,True,-14.14801896352229,14.14801896352229
species_Agastache urticifolia,104,3,101,2.8846153846153846,0.21201413427561835,1.4742373376149467,0.14381275583388728,1.0907477366041321e-05,non-VCM,2.443274929993256e-05,True,-14.233700608609874,14.233700608609874
species_Monardella odoratissima,211,6,205,2.843601895734597,0.4240282685512367,2.9922639030798424,0.141708178919245,1.0124351685124644e-10,non-VCM,5.039677283262045e-10,True,-14.274714097490662,14.274714097490662
species_Arctostaphylos patula,426,12,414,2.8169014084507045,0.8480565371024734,6.04291344329295,0.14033901777026678,1.2342865590250325e-20,non-VCM,1.8432012614773819e-19,True,-14.301414584774555,14.301414584774555
species_Charina bottae,146,4,142,2.73972602739726,0.2826855123674912,2.0726901182309154,0.13638580600209027,1.098631697501563e-07,non-VCM,3.5665724672514505e-07,True,-14.378589965827999,14.378589965827999
species_Heracleum maximum,148,4,144,2.7027027027027026,0.2826855123674912,2.101882936797548,0.1344915586965057,7.24504992158561e-08,non-VCM,2.496755665284887e-07,True,-14.415613290522558,14.415613290522558
species_Pedicularis semibarbata,157,4,153,2.547770700636943,0.2826855123674912,2.2332506203473943,0.12658029053788772,1.4760296818094395e-08,non-VCM,5.603909300429058e-08,True,-14.570545292588317,14.570545292588317
species_Laetiporus conifericola,82,2,80,2.4390243902439024,0.1413427561837456,1.1677127426653044,0.12104240282685512,5.2340449389141165e-05,non-VCM,0.00010195009272319671,True,-14.679291602981356,14.679291602981356
species_Ceanothus cordulatus,342,8,334,2.3391812865497075,0.5653710247349824,4.875200700627646,0.11596876917543004,4.5140474743359234e-18,non-VCM,4.396289714135856e-17,True,-14.779134706675553,14.779134706675553
species_Boloria epithore,86,2,84,2.3255813953488373,0.1413427561837456,1.2260983797985696,0.11527847888271917,3.705464993393458e-05,non-VCM,7.345346535576413e-05,True,-14.792734597876422,14.792734597876422
species_Parnassius clodius,87,2,85,2.2988505747126435,0.1413427561837456,1.240694789081886,0.11392226148409892,2.3583179347740937e-05,non-VCM,4.8464515356825413e-05,True,-14.819465418512616,14.819465418512616
species_Platanthera dilatata,316,7,309,2.2151898734177213,0.49469964664310956,4.510290468544738,0.10968243621850951,2.6441857388092832e-17,non-VCM,2.369190421973118e-16,True,-14.903126119807538,14.903126119807538
species_Pipilo chlorurus,92,2,90,2.1739130434782608,0.1413427561837456,1.3136768354984674,0.10759324695720456,1.0607025443620025e-05,non-VCM,2.3999734337079654e-05,True,-14.944402949746998,14.944402949746998
species_Viola glabella,100,2,98,2.0,0.1413427561837456,1.4304481097649977,0.09881012475661644,3.264039139031808e-06,non-VCM,8.123830746034721e-06,True,-15.11831599322526,15.11831599322526
species_Prunus emarginata,116,2,114,1.7241379310344827,0.1413427561837456,1.6639906582980586,0.08494203707147728,1.854189095372019e-07,non-VCM,5.849836019201862e-07,True,-15.394178062190777,15.394178062190777
species_Fragaria virginiana,58,1,57,1.7241379310344827,0.0706713780918728,0.8319953291490293,0.08494203707147728,0.00037206780735783316,non-VCM,0.0006128175650599605,True,-15.394178062190777,15.394178062190777
species_Erythranthe breweri,120,2,118,1.6666666666666667,0.1413427561837456,1.722376295431324,0.08206264598430855,8.16197853273505e-08,non-VCM,2.6886517519597814e-07,True,-15.451649326558593,15.451649326558593
species_Sidalcea glaucescens,127,2,125,1.574803149606299,0.1413427561837456,1.824551160414538,0.07746713780918729,2.3938621488554702e-08,non-VCM,8.790575759731564e-08,True,-15.54351284361896,15.54351284361896
species_Allium validum,69,1,68,1.4492753623188406,0.0706713780918728,0.9925558312655087,0.07120141342756184,7.390065954142859e-05,non-VCM,0.0001391071238426891,True,-15.66904063090642,15.66904063090642
species_Kelloggia galioides,138,2,136,1.4492753623188406,0.1413427561837456,1.9851116625310175,0.07120141342756184,4.760390235143357e-09,non-VCM,1.9041560940573427e-08,True,-15.66904063090642,15.66904063090642
species_Ribes cereum,140,2,138,1.4285714285714286,0.1413427561837456,2.01430448109765,0.07016950888513342,3.096470066065072e-09,non-VCM,1.3338640284588001e-08,True,-15.68974456465383,15.68974456465383
species_Haemorhous cassinii,71,1,70,1.4084507042253522,0.0706713780918728,1.0217486498321413,0.0691670873296315,4.777365810146893e-05,non-VCM,9.387104749762317e-05,True,-15.709865288999907,15.709865288999907
